name,ticker,market,sector
Alhasoob Co.,9522,TADAWUL,Distribution services
Group Five Pipe Saudi Ltd.,9523,TADAWUL,Non-energy minerals
Advance International Company for Communication and Information Technology,9524,TADAWUL,Technology services
Alwasail Industrial Company,9525,TADAWUL,Producer manufacturing
AME Company for Medical Supplies,9527,TADAWUL,Distribution services
Gas Arabian Services Co,9528,TADAWUL,Industrial services
Arabian International Healthcare Holding Co.,9530,TADAWUL,Health technology
Al-Jouf Healthy Water Bottling Company,9532,TADAWUL,Consumer non-durables
Saudi Parts Center Co,9533,TADAWUL,Distribution services
Ladun Investment Company,9535,TADAWUL,Finance
Arabian Food & Dairy Factories Co.,9536,TADAWUL,Consumer non-durables
Amwaj International Co,9537,TADAWUL,Retail trade
Naseej for Technology Co.,9538,TADAWUL,Technology services
Aqaseem Factory for Chemicals and Plastics Co.,9539,TADAWUL,Process industries
National Environmental Recycling Co.,9540,TADAWUL,Distribution services
Academy of Learning Co.,9541,TADAWUL,Technology services
"Saudi Networkers Services Co., Ltd.",9543,TADAWUL,Technology services
Future Care Trading Co.,9544,TADAWUL,Health services
International Human Resources Company,9545,TADAWUL,Commercial services
Naba Alsaha Medical Services Co.,9546,TADAWUL,Health services
Rawasi Al Bina Investment Co.,9547,TADAWUL,Communications
Arabian Plastic Industrial Co.,9548,TADAWUL,Producer manufacturing
Abdulaziz and Mansour Ibrahim Albabtin Co.,9549,TADAWUL,Consumer non-durables
Sure Global Technology Company,9550,TADAWUL,Technology services
Knowledge Tower Trading Co.,9551,TADAWUL,Distribution services
Saudi Top for Trading Company,9552,TADAWUL,Process industries
Molan Steel Company,9553,TADAWUL,Distribution services
Leen Alkhair Trading Co,9555,TADAWUL,Distribution services
Nofoth Food Products Co,9556,TADAWUL,Consumer non-durables
Edarat Communication and Information Technology Co.,9557,TADAWUL,Technology services
Alqemam for Computer Systems Co.,9558,TADAWUL,Technology services
Balady Poultry Trading Co.,9559,TADAWUL,Process industries
WAJA company,9560,TADAWUL,Industrial services
Knowledge Net Company,9561,TADAWUL,Technology services
Food Gate Trading Company,9562,TADAWUL,Consumer services
Bena Steel Industries Company,9563,TADAWUL,Producer manufacturing
Horizon Food Company,9564,TADAWUL,Consumer non-durables
Meyar Company,9565,TADAWUL,Commercial services
Saudi Lime Industries Company,9566,TADAWUL,Non-energy minerals
Ghida Al-Sultan Co.,9567,TADAWUL,Consumer services
Mayar Holding Co.,9568,TADAWUL,Producer manufacturing
Almuneef Co. for Trading Industry Agriculture & Contraracting,9569,TADAWUL,Distribution services
Tam Development Company,9570,TADAWUL,Technology services
Munawla Cargo Company,9571,TADAWUL,Transportation
Al Razi Medical Company,9572,TADAWUL,Retail trade
Professional Medical Expertise Co.,9574,TADAWUL,Distribution services
Marble Design Company,9575,TADAWUL,Non-energy minerals
Paper Home Company,9576,TADAWUL,Process industries
DAR ALMARKABAH For Renting Cars Company,9577,TADAWUL,Transportation
Atlas Elevators General Trading and Contracting Company,9578,TADAWUL,Distribution services
Intelligent Oud Company For Trading,9579,TADAWUL,Retail trade
Al Rashid Industrial Co,9580,TADAWUL,Producer manufacturing
Clean life company,9581,TADAWUL,Commercial services
United Mining Industries Company,9583,TADAWUL,Non-energy minerals
Riyal Investment and Development Company,9584,TADAWUL,Finance
Mulkia Investment Company,9585,TADAWUL,Finance
Osool & Bakheet Investment Company,9586,TADAWUL,Finance
Lana Medical Co.,9587,TADAWUL,Health services
Riyadh Steel Company,9588,TADAWUL,Producer manufacturing
Fad International Company,9589,TADAWUL,Consumer non-durables
Armah Sports Company,9590,TADAWUL,Consumer services
View United Real Estate Development Company,9591,TADAWUL,Finance
Almujtama Alraida Medical Co.,9592,TADAWUL,Health services
Pan Gulf Marketing Co.,9593,TADAWUL,Distribution services
Almodawat Specialized Medical Hospital Company,9594,TADAWUL,Health services
WSM for Information Technology Co.,9595,TADAWUL,Technology services
Quara Finance Company,9596,TADAWUL,Technology services
Leaf Global Environmental Services Company,9597,TADAWUL,Commercial services
Al Mohafaza Company for Education,9598,TADAWUL,Consumer services
Taqat Mineral Trading Co,9599,TADAWUL,Non-energy minerals
Qomel Company,9600,TADAWUL,Health technology
Mohammed Hadi Al Rasheed and Partners Co.,9601,TADAWUL,Non-energy minerals
Yaqeen Capital Company,9602,TADAWUL,Finance
Horizon Educational Company,9603,TADAWUL,Consumer services
Miral Dental Clinics Co.,9604,TADAWUL,Health services
Neft Alsharq Co. for Chemical Industries,9605,TADAWUL,Process industries
Altharwah Albashariyyah Co.,9606,TADAWUL,Commercial services
ASG Plastic Factory Company,9607,TADAWUL,Producer manufacturing
Al Ashghal Almoysra Company,9608,TADAWUL,Commercial services
Naas Petrol Factory Company,9609,TADAWUL,Process industries
First Avenue Real Estate Development Company,9610,TADAWUL,Finance
United Arab Float Glass Co.,9611,TADAWUL,Process industries
SAMA Healthy Water Factory company,9612,TADAWUL,Consumer non-durables
Shalfa Facilities Management Co.,9613,TADAWUL,Commercial services
Purity For Information Technology Co.,9614,TADAWUL,Technology services
Mufeed Company,9615,TADAWUL,Consumer services
Jana Medical Company,9616,TADAWUL,Health technology
Arabica Star Company,9617,TADAWUL,Consumer services
Al-Fakhera Men Tailoring Co.,9618,TADAWUL,Distribution services
Multi Business Group for Projects Company,9619,TADAWUL,Industrial services
Balsm Alofoq Medical Company,9620,TADAWUL,Health services
Digital Research Company,9621,TADAWUL,Technology services
Shmoh Almadi Co.,9622,TADAWUL,Retail trade
Albattal Factory for Chemical Industries Co.,9623,TADAWUL,Process industries
Alshehili Company for metal industries,9624,TADAWUL,Producer manufacturing
Itmam Consultancy Co.,9625,TADAWUL,Commercial services
Basma Adeem Medical Co.,9626,TADAWUL,Health services
Twareat Medical Care Co.,9627,TADAWUL,Health services
Lamasat Company Limited,9628,TADAWUL,Consumer services
Ratio Specialty Company For Trading,9630,TADAWUL,Consumer services
Hedab Alkhaleej Trading Co.,9631,TADAWUL,Distribution services
Future Vision for Health Training Co.,9632,TADAWUL,Commercial services
Service Equipment Co.,9633,TADAWUL,Distribution services
Adeer Real Estate Co.,9634,TADAWUL,Technology services
Dkhoun National Trading Co.,9635,TADAWUL,Retail trade
Al Kuzama Trading Company,9636,TADAWUL,Consumer services
Axelerated Solutions for Information & Communication Tech,9637,TADAWUL,Technology services
Anmat Technology for Trading Co.,9639,TADAWUL,Communications
ASAS Makeen Real Estate Development and Investment Company,9640,TADAWUL,Finance
Hawyia Auctions Co.,9641,TADAWUL,Commercial services
Time Entertainment Co.,9642,TADAWUL,Consumer services
Naf Company for Feed for Industry,9644,TADAWUL,Process industries
National Signage Industria Co.,9645,TADAWUL,Producer manufacturing
Wajd Life Trading Co.,9647,TADAWUL,Distribution services
Hamad Mohammed Bin Saedan Real Estate Co.,9648,TADAWUL,Finance
JAMJOOM FASHION TRADING COMPANY,9649,TADAWUL,
